summary,journey_id,duration_in_days
Bring passengers to the moon,b7879f00-0aab-11f1-8080-808080808080,266
Test new spacecraft model,e7dbfd00-0861-11f1-8080-808080808080,91
Bring supplies to space center,1aac9980-05b3-11f1-8080-808080808080,192
Deploy new internet beacons,da422100-059c-11f1-8080-808080808080,51
Crew rotation,87417d00-054e-11f1-8080-808080808080,176
Tourist flight,211c1200-04dc-11f1-8080-808080808080,23
Push the boundaries of human exploration,0b167380-fbf7-11f0-8080-808080808080,165
Missing Summary,4ebbc400-f8a3-11b1-8080-808080808080,10
ISS crew rotation.,5b91c000-ec9c-11e5-8080-808080808080,173
"ISS assembly, maintenance and supply.",6791cc00-da2d-11d6-8080-808080808080,11
Mir crew rotation. First Japanese in space (Akiyama).,b6890e00-91a0-11c9-8080-808080808080,8
Solar observations. Wake Shield Facility-2 deployment.,1a9fce00-e927-11ce-8080-808080808080,11
"ISS crew rotation, assembly and supply.",45930c00-78ca-11d6-8080-808080808080,10
First live TV from U.S. astronaut.,2a9f6000-ae3f-11aa-8080-808080808080,1
First American to visit Mir (Thagard).,9f20f200-5dc5-11ce-8080-808080808080,115
ISS construction and supply.,c62b5200-2d6d-11d4-8080-808080808080,10
Mir crew rotation.,27472000-6b66-11cb-8080-808080808080,14
ISS crew rotation.,9dbbc000-ecfa-11de-8080-808080808080,164
Mir crew rotation. First Syrian in space (Faris).,d9920a00-cbab-11c5-8080-808080808080,160
Second woman in space (Savitskaya).,82443000-474b-11c0-8080-808080808080,8
ISS crew rotation.,0c9d0000-1999-11de-8080-808080808080,199
Sixth and last lunar landing. Third and last Lunar Rover.  Third and last deep space EVA.,08ed8e00-6799-11b5-8080-808080808080,12
50th Space Shuttle mission. Joint NASA and NASDA mission. Conducted microgravity investigations in materials and life sciences. First African-American woman in space (Jemison).,3b090000-909a-11cb-8080-808080808080,8
Deployment of Tracking and Data Relay Satellite-4 (TDRS-4). Miscellaneous science experiments.,3e0e6800-a393-11c7-8080-808080808080,5
Fifth lunar landing. Second Lunar Rover.  Second deep space EVA.,9e13ec00-af56-11b4-8080-808080808080,11
Life sciences experiments. Earth observations and study of aurora borealis. First Pole in space (Hermaszewski).,01c2fa00-a188-11bb-8080-808080808080,8
First USA landing on the moon,fc01e800-9954-11b1-8080-808080808080,8
ISS crew rotation.,fa620000-958e-11e6-8080-808080808080,173
Investigations into effects of prolonged spaceflight. Record duration mission for single spacecraft.,59753800-9519-11b2-8080-808080808080,18
First instance of two manned spacecraft in orbit simultaneously.,ff31b400-d46d-11a9-8080-808080808080,4
Third human spaceflight and first spacewalk for China.,e56e8000-8a94-11dd-8080-808080808080,3
Bring supplies to space center,b48d5400-dcac-11ed-8080-808080808080,141
Bring passengers to the moon,3c0d5700-d97d-11ed-8080-808080808080,224
Go to edge of solar system,6b835e80-d7d9-11ed-8080-808080808080,129
Go to edge of solar system,39b7a880-cbda-11ed-8080-808080808080,168
Deploy new internet beacons,98da3680-c4d1-11ed-8080-808080808080,155
Bring supplies to space center,33bf0c00-c411-11ed-8080-808080808080,50
Push the boundaries of human exploration,bce12f00-c38e-11ed-8080-808080808080,151
Go to edge of solar system,b1e77100-c013-11ed-8080-808080808080,71
Tourist flight,866f2a00-bc93-11ed-8080-808080808080,350
Land on Mars,fcfe1180-bb45-11ed-8080-808080808080,57
Delivery of experimentsDelivery of Rassvet,a3a18000-5eeb-11df-8080-808080808080,12
ISS crew rotation.,e480c000-4446-11e4-8080-808080808080,168
Mir repairs. 39th and final Mir mission.,031dce00-09e6-11d4-8080-808080808080,73
Bring supplies to space center,c20b9480-534e-11f2-8080-808080808080,16
Deploy new internet beacons,23402780-5105-11f2-8080-808080808080,49
Tourist flight,e06a4b00-5043-11f2-8080-808080808080,197
Bring supplies to space center,7bb8dd00-4fbe-11f2-8080-808080808080,18
Tourist flight,12ef3900-4ec8-11f2-8080-808080808080,4
Crew rotation,7eeb2080-4a34-11f2-8080-808080808080,259
Find new forms of life,aa281100-4876-11f2-8080-808080808080,15
Crew rotation,ed923d80-4632-11f2-8080-808080808080,335
Test new spacecraft model,dc1c1c00-440d-11f2-8080-808080808080,15
Find new forms of life,cf359d80-3fb3-11f2-8080-808080808080,204
Microgravity experiments.,9c6a4600-0ae6-11cf-8080-808080808080,16
First EVA.,d0f99800-bee4-11ac-8080-808080808080,1
ISS crew rotation and assembly,33374000-1553-11dc-8080-808080808080,14
ISS crew rotation.,4d06ea00-91b0-11d8-8080-808080808080,11
Deploy satellites,bbc80300-b37a-11f8-8080-808080808080,149
Test new spacecraft model,5d5e9900-a1af-11f8-8080-808080808080,22
Crew rotation,b3cc9d00-9f4d-11f8-8080-808080808080,66
Test new spacecraft model,e8871a00-6a1b-11f8-8080-808080808080,214
Bring supplies to space center,e5633e00-69c9-11f8-8080-808080808080,173
Land on Mars,33786200-5615-11f8-8080-808080808080,148
Test new spacecraft model,4c2b3e00-5569-11f8-8080-808080808080,105
Go to edge of solar system,1d945280-5405-11f8-8080-808080808080,70
Tourist flight,50133e00-47bd-11f8-8080-808080808080,84
Push the boundaries of human exploration,d10eb600-4408-11f8-8080-808080808080,146
Deployment of Advanced Communications Technology Satellite (ACTS). Ultraviolet astronomical observations.,7d874600-af55-11cc-8080-808080808080,10
"ISS assembly, crew rotation and supply.",851be600-ff46-11d6-8080-808080808080,13
First American EVA.,b95cb200-fbab-11ac-8080-808080808080,4
Reached altitude of 108km. Walker becomes first person to fly into space twice. X-15 #3 (serial 56-6672) becomes first vehicle to fly into space twice.,0b7e4000-fb9d-11aa-8080-808080808080,0
First re-use of a manned orbital spacecraft. Systems test. Earth science observations.,138ad400-6b34-11bf-8080-808080808080,2
Bring passengers to the moon,b7792080-473c-11ea-8080-808080808080,142
Deploy new internet beacons,785b4480-41fd-11ea-8080-808080808080,169
Land on Mars,05eb4700-40cd-11ea-8080-808080808080,217
Push the boundaries of human exploration,60738000-3ee0-11ea-8080-808080808080,14
Push the boundaries of human exploration,bdbd6f00-38eb-11ea-8080-808080808080,90
Deploy new internet beacons,993b7a00-36d4-11ea-8080-808080808080,316
Deploy satellites,c4727c00-35a3-11ea-8080-808080808080,103
Tourist flight,264e9e00-3378-11ea-8080-808080808080,74
Land on Mars,c1237b80-3297-11ea-8080-808080808080,249
Land on Mars,4d1ab080-3262-11ea-8080-808080808080,288
First EVA by a female astronaut (Savitskaya).,33b89e00-6bcd-11c2-8080-808080808080,12
Hubble Space Telescope servicing mission.,8c3efc00-2d06-11d6-8080-808080808080,11
Earth photography.,f5abc800-a292-11b9-8080-808080808080,8
Mir equipment installation.,1e736c00-2e19-11c8-8080-808080808080,167
German-sponsored Spacelab mission. Microgravity experiments. First Dutchman in space (Ockels).,93cd4800-dd1d-11c3-8080-808080808080,7
Mir crew rotation and resupply. Miscellaneous scientific experiments.,d87c8400-0f9f-11d0-8080-808080808080,10
Ultraviolet and X-ray astronomy (ASTRO-1 observatory).,23e27200-9194-11c9-8080-808080808080,9
Miscellaneous scientific experiments. First Japanese EVA (Doi). First Ukrainian in space (Kadenyuk).,01098c00-6117-11d1-8080-808080808080,16
ISS crew rotation.,b6744000-97f0-11dd-8080-808080808080,178
First manned lunar orbit.,94750a00-f69d-11b0-8080-808080808080,6
Resumption of ISS assembly. First Canadian to operate Canadarm2. Delivery of the second set of solar arrays and batteries.,22db4000-3f96-11db-8080-808080808080,12
First crew transfer between space vehicles. First docking of two manned spacecraft.,9f5a4c00-0976-11b1-8080-808080808080,3
Bring supplies to space center,bbbf4a00-ff35-11ef-8080-808080808080,91
Push the boundaries of human exploration,c35a6f80-f8f3-11ef-8080-808080808080,115
Crew rotation,27266d80-f8df-11ef-8080-808080808080,33
Deploy satellites,65a6a180-f2bb-11ef-8080-808080808080,63
Land on Mars,6c9f7e00-ef62-11ef-8080-808080808080,258
Test new spacecraft model,6cea0180-ec62-11ef-8080-808080808080,114
Deploy new internet beacons,77998d80-ebb3-11ef-8080-808080808080,237
Deploy new internet beacons,76487080-eb73-11ef-8080-808080808080,64
Test new spacecraft model,f3e7ee80-e498-11ef-8080-808080808080,197
Deploy new internet beacons,e7727180-e384-11ef-8080-808080808080,208
Two communications satellites launched. First American woman in space (Ride). Investigation into behavior of ant colony in zero gravity. Various microgravity experiments.,59d8be00-3535-11c1-8080-808080808080,6
Deployment of Upper Atmosphere Research Satellite (UARS).,36d59a00-7149-11ca-8080-808080808080,6
Testing of experimental solar arrays. Three satellites deployed.,dc962200-8e36-11c2-8080-808080808080,6
Crew rotation,7e198500-f059-11ec-8080-808080808080,131
Crew rotation,0d1f3b00-ec1d-11ec-8080-808080808080,31
Deploy new internet beacons,4000fa80-eb5b-11ec-8080-808080808080,67
Bring passengers to the moon,f1bc0f00-eafa-11ec-8080-808080808080,178
Test new spacecraft model,794d5200-eaea-11ec-8080-808080808080,159
Find new forms of life,e6696980-db74-11ec-8080-808080808080,91
Bring supplies to space center,37ea8500-d5c6-11ec-8080-808080808080,133
Bring passengers to the moon,783cde00-d3e1-11ec-8080-808080808080,52
Deploy satellites,23fae980-d1a8-11ec-8080-808080808080,191
Push the boundaries of human exploration,cd47ce00-d11b-11ec-8080-808080808080,48
ISS assembly and supply. Delivery of Destiny Laboratory Module.,c1b92600-fd4e-11d4-8080-808080808080,13
First flawless Mercury mission.,977b6200-fe3b-11a9-8080-808080808080,0
Failed to board Salyut 3 space station.,c0be5400-54c4-11b7-8080-808080808080,2
Second Shuttle-Mir docking. Delivery of Russian docking module and solar arrays.,d39ad400-1ced-11cf-8080-808080808080,8
Failed to dock with Salyut 7.,443a4a00-06e6-11c1-8080-808080808080,2
ISS crew rotation.,8e2b4000-691c-11e8-8080-808080808080,197
Missing Summary,2502f000-3c34-11c1-8080-808080808080,149
Tourist flight,bab26100-508a-11f5-8080-808080808080,99
Test new spacecraft model,eb951000-2b88-11f5-8080-808080808080,165
Land on Mars,d1233100-29e6-11f5-8080-808080808080,48
Go to edge of solar system,ab3e4e00-1e76-11f5-8080-808080808080,7
Crew rotation,690dc780-1b6b-11f5-8080-808080808080,84
Deploy satellites,e2cbe580-13f4-11f5-8080-808080808080,37
Deploy new internet beacons,39b1b680-085c-11f5-8080-808080808080,18
Go to edge of solar system,cf382880-f180-11f4-8080-808080808080,8
Find new forms of life,9e7d2d00-dfe0-11f4-8080-808080808080,153
Push the boundaries of human exploration,bd48e180-d553-11f4-8080-808080808080,40
ISS crew rotation.,d3f10000-d1a5-11df-8080-808080808080,160
Mir crew rotation. Life science experiments. First Briton in space (Sharman). First European woman in space (Sharman).,13d00c00-1502-11ca-8080-808080808080,8
Deployment of Laser Geodynamic Satellite II (LAGEOS-II). US Microgravity Payload-1 (USMP-1): physics experiments.,e2c20800-b020-11cb-8080-808080808080,10
Find new forms of life,a937ef00-7bf0-11f3-8080-808080808080,57
Tourist flight,6a8be880-782e-11f3-8080-808080808080,96
Test new spacecraft model,c4776180-746e-11f3-8080-808080808080,15
Test new spacecraft model,4facda80-7183-11f3-8080-808080808080,192
Bring supplies to space center,580ae700-6fc4-11f3-8080-808080808080,173
Crew rotation,37f70b80-6f63-11f3-8080-808080808080,22
Find new forms of life,714e4080-6dd6-11f3-8080-808080808080,67
Bring supplies to space center,7d35f600-6d35-11f3-8080-808080808080,25
Push the boundaries of human exploration,5316f380-6bd0-11f3-8080-808080808080,135
Push the boundaries of human exploration,7c181100-6631-11f3-8080-808080808080,81
Land on Mars,b0a04f00-5d8d-11eb-8080-808080808080,62
Find new forms of life,54564900-54ca-11eb-8080-808080808080,97
Land on Mars,d3cd1500-5403-11eb-8080-808080808080,275
Deploy new internet beacons,1210f880-5360-11eb-8080-808080808080,170
Land on Mars,3658df00-5338-11eb-8080-808080808080,327
Go to edge of solar system,9dfa1780-51dc-11eb-8080-808080808080,60
Tourist flight,1f7c5a80-4fcf-11eb-8080-808080808080,197
Find new forms of life,049edd00-4f20-11eb-8080-808080808080,78
Bring supplies to space center,550e1300-4d45-11eb-8080-808080808080,5
Crew rotation,9bdd0980-4c6e-11eb-8080-808080808080,41
Miscellaneous scientific experiments.,08a10600-3759-11cd-8080-808080808080,14
ISS crew rotation.,4bfa4000-255c-11e7-8080-808080808080,136
ISS crew rotation. First Brazilian in space (Pontes).,21860000-bf80-11da-8080-808080808080,183
Deploy new internet beacons,13483a80-319a-11ef-8080-808080808080,163
Find new forms of life,fe68a880-3193-11ef-8080-808080808080,178
Bring supplies to space center,c6ba6d80-29e9-11ef-8080-808080808080,187
Find new forms of life,f7edf600-2530-11ef-8080-808080808080,178
Test new spacecraft model,d9253a80-2503-11ef-8080-808080808080,96
Find new forms of life,dd33aa00-1d04-11ef-8080-808080808080,27
Bring passengers to the moon,93ab3c80-1a30-11ef-8080-808080808080,35
Push the boundaries of human exploration,eddab080-182a-11ef-8080-808080808080,32
Bring passengers to the moon,bc2cf100-1727-11ef-8080-808080808080,201
Deploy new internet beacons,f3563d80-113c-11ef-8080-808080808080,187
Deploy satellites,125e2a00-c4ae-11f0-8080-808080808080,5
Deploy satellites,3512bd80-c02c-11f0-8080-808080808080,7
Deploy new internet beacons,bb52f580-ab8d-11f0-8080-808080808080,97
Find new forms of life,d3e17e00-a66a-11f0-8080-808080808080,60
Bring supplies to space center,747ad280-9fc7-11f0-8080-808080808080,1
Tourist flight,1a7f3080-96dc-11f0-8080-808080808080,138
Land on Mars,307beb00-9621-11f0-8080-808080808080,155
Tourist flight,cc923080-8d9d-11f0-8080-808080808080,119
Tourist flight,17e6c080-89e5-11f0-8080-808080808080,107
Bring supplies to space center,51a92900-7876-11f0-8080-808080808080,178
Missing Summary,5efc6800-3104-11c9-8080-808080808080,131
Second ISS flight. ISS assembly and resupply.,c5453600-1421-11d3-8080-808080808080,10
First mission to Salyut 7. Deployment of radio communications satellite.,a4bc0400-fa0c-11bf-8080-808080808080,211
ISS crew rotation.,6ef54000-973a-11e2-8080-808080808080,167
ISS crew rotation.,cc5c8000-2c9a-11e8-8080-808080808080,197
First American manned orbital flight. Completed three orbits.,8c7b3200-4d82-11a9-8080-808080808080,0
Land on Mars,ec5c5000-72f7-11f5-8080-808080808080,85
Bring passengers to the moon,85685b00-7180-11f5-8080-808080808080,229
Find new forms of life,b871af80-6d78-11f5-8080-808080808080,23
Crew rotation,bd431480-6a95-11f5-8080-808080808080,3
Crew rotation,c9e34200-699b-11f5-8080-808080808080,270
Test new spacecraft model,d30e9f00-667b-11f5-8080-808080808080,23
Land on Mars,0e57a080-6671-11f5-8080-808080808080,185
Push the boundaries of human exploration,42619180-659d-11f5-8080-808080808080,204
Test new spacecraft model,5d1cf480-643d-11f5-8080-808080808080,279
Go to edge of solar system,e5959800-6431-11f5-8080-808080808080,53
ISS assembly,4e6a0000-4542-11dc-8080-808080808080,13
Mir crew rotation. First Kazakh in space (Aubakirov). First Austrian in space (Vieb̦ck).,5be66a00-8070-11ca-8080-808080808080,175
Ulysses probe deployed. Miscellaneous science experiments.,e2b34600-64f3-11c9-8080-808080808080,4
First manned spaceflight. Completed one Earth orbit.,805b1a00-5673-11a8-8080-808080808080,0
ISS crew rotation and supply. Safety and repair system testing. First long-duration ISS mission by an ESA astronaut (Reiter).,092e0000-0af0-11db-8080-808080808080,13
Second Spacelab mission; microgravity experiments. Observation of behaviour of monkeys and rodents in space.,08df9800-4c7d-11c3-8080-808080808080,7
Go to edge of solar system,35745900-4089-11f0-8080-808080808080,45
Bring supplies to space center,89b79900-30da-11f0-8080-808080808080,78
Test new spacecraft model,e51d6c00-2682-11f0-8080-808080808080,177
Bring passengers to the moon,b644cd00-2665-11f0-8080-808080808080,99
Deploy satellites,43b64d80-1eff-11f0-8080-808080808080,77
Bring supplies to space center,b9cd3700-1a5d-11f0-8080-808080808080,15
Crew rotation,d312e100-1149-11f0-8080-808080808080,170
Tourist flight,5f004f80-08a4-11f0-8080-808080808080,16
Bring passengers to the moon,5cc2d480-0855-11f0-8080-808080808080,40
Bring supplies to space center,74593080-04d6-11f0-8080-808080808080,185
First manual retrofire. Earth photography and study of liquids in weightless conditions.,e9d69600-9685-11a9-8080-808080808080,0
First manual rendezvous. Miscellaneous scientific experiments.,1c20b400-992f-11ae-8080-808080808080,4
Bring supplies to space center,cb081980-d26a-11f4-8080-808080808080,49
Bring passengers to the moon,e918f700-cec3-11f4-8080-808080808080,51
Push the boundaries of human exploration,82db9800-ce21-11f4-8080-808080808080,133
Deploy satellites,b904f080-c16e-11f4-8080-808080808080,262
Bring supplies to space center,844e3900-bfb6-11f4-8080-808080808080,70
Find new forms of life,62f5e300-bb99-11f4-8080-808080808080,95
Bring passengers to the moon,ebbf4100-bafd-11f4-8080-808080808080,12
Land on Mars,08f98a00-b5a9-11f4-8080-808080808080,74
Deploy new internet beacons,42c56780-b3d4-11f4-8080-808080808080,130
Crew rotation,45393f00-a470-11f4-8080-808080808080,278
ISS assembly and maintenance: delivery of Quest Airlock,d5254000-76a4-11d5-8080-808080808080,13
"First Spacelab (orbital laboratory) mission. First ESA astronaut, first West German astronaut and first non-American on US flight (Merbold).",a7d80000-b570-11c1-8080-808080808080,10
Go to edge of solar system,e2909d80-85e7-11eb-8080-808080808080,261
Bring supplies to space center,2905cf80-84f6-11eb-8080-808080808080,347
Push the boundaries of human exploration,ec0aa780-819a-11eb-8080-808080808080,122
Bring supplies to space center,c99b5180-8015-11eb-8080-808080808080,60
Crew rotation,1c89b600-7d43-11eb-8080-808080808080,10
Push the boundaries of human exploration,7aef5f80-7c83-11eb-8080-808080808080,118
Bring supplies to space center,d59ee500-7453-11eb-8080-808080808080,32
Push the boundaries of human exploration,46574a80-6d4c-11eb-8080-808080808080,121
Test new spacecraft model,b6556480-6864-11eb-8080-808080808080,16
Land on Mars,32dd5180-5e28-11eb-8080-808080808080,324
ISS supply and assembly: delivery of Canadarm2 robotic arm. First European on board ISS (Guidoni). First Canadian EVA(Hadfield).,61cfc000-34f3-11d5-8080-808080808080,12
First expedition to Mir. Last expedition to Salyut 7.,3e496600-4642-11c4-8080-808080808080,125
Day-long flight. Completed 17 Earth orbits. Brief manual control by pilot.,5c2ac800-b191-11a8-8080-808080808080,1
ISS crew rotation.,16524000-9099-11e0-8080-808080808080,168
First African-American in space (Bluford). First night launch and landing. Deployed INSAT-1B satellite for India. Observation of behavior of rats in space.,65673000-6e68-11c1-8080-808080808080,6
SPACEHAB-2: materials science and life sciences investigations. Wake Shield Facility-1 deployment. Medical and radiological investigations. First Russian to fly aboard the Space Shuttle (Krikalev).,66223400-2081-11cd-8080-808080808080,8
Missing Summary,e64c6a00-0936-11c7-8080-808080808080,241
Missing Summary,7fc28000-af57-11bc-8080-808080808080,74
Push the boundaries of human exploration,5a4d3300-d007-11ec-8080-808080808080,231
Crew rotation,5be25400-c7da-11ec-8080-808080808080,228
Tourist flight,f2dbb180-c537-11ec-8080-808080808080,100
Bring passengers to the moon,54723080-c4e4-11ec-8080-808080808080,19
Crew rotation,f5ecda00-bda0-11ec-8080-808080808080,180
Bring supplies to space center,88129980-bb79-11ec-8080-808080808080,259
Land on Mars,e61f0a00-b5d8-11ec-8080-808080808080,66
Land on Mars,42483800-b4cc-11ec-8080-808080808080,122
Bring passengers to the moon,7db6cf80-b177-11ec-8080-808080808080,63
Go to edge of solar system,18aede80-a91a-11ec-8080-808080808080,7
Deployment of communications satellite. Miscellaneous science experiments.,fe840200-1716-11c4-8080-808080808080,6
ISS crew rotation.,4271c000-07de-11e0-8080-808080808080,160
ISS crew rotation and assembly,e5cf0000-80fa-11dc-8080-808080808080,15
"First mission for the U.S. Department of Defense. Classified payload, possibly intelligence-gathering satellite.",90d58200-01f6-11c3-8080-808080808080,3
Miscellaneous scientific experiments. First Vietnamese and first Asian outside USSR in space (Tuan).,68589600-f47c-11bd-8080-808080808080,8
Crew rotation,1c5ddb00-f8c7-11f2-8080-808080808080,129
Land on Mars,485cda80-be07-11f2-8080-808080808080,26
Bring passengers to the moon,abd45480-b61e-11f2-8080-808080808080,215
Push the boundaries of human exploration,c7d94180-a436-11f2-8080-808080808080,16
Find new forms of life,b9503480-a327-11f2-8080-808080808080,39
Deploy new internet beacons,2cbbbd00-9c29-11f2-8080-808080808080,218
Deploy new internet beacons,e3a4f980-9906-11f2-8080-808080808080,157
Deploy satellites,2738c880-941a-11f2-8080-808080808080,126
Find new forms of life,1a7c6080-91df-11f2-8080-808080808080,80
Go to edge of solar system,cef9a800-8817-11f2-8080-808080808080,25
Mir crew rotation.,005eea00-3292-11d2-8080-808080808080,380
"Delivery of experiments, logistics, and crew rotation",baa44000-9365-11de-8080-808080808080,14
First winged craft in space. Reached altitude of 106km.,6972c000-e0e5-11aa-8080-808080808080,0
Capture and return to Earth of Space Flyer Unit (Japanese microgravity research spacecraft).,287a9e00-4bfc-11cf-8080-808080808080,9
Crew rotation,0b43a800-10d0-11ef-8080-808080808080,104
Find new forms of life,9b009c80-09d4-11ef-8080-808080808080,48
Deploy new internet beacons,f7402e00-02fb-11ef-8080-808080808080,81
Push the boundaries of human exploration,70218080-f767-11ee-8080-808080808080,103
Tourist flight,b7392700-f557-11ee-8080-808080808080,51
Crew rotation,21b92400-f160-11ee-8080-808080808080,137
Crew rotation,63928d80-f0c0-11ee-8080-808080808080,24
Go to edge of solar system,e6affd00-e72a-11ee-8080-808080808080,75
Bring supplies to space center,7bb6ba00-e4cf-11ee-8080-808080808080,232
Bring supplies to space center,a594c000-e480-11ee-8080-808080808080,127
Deployment and retrieval of Wake Shield Facility and German-built Orbiting and Retrievable Far and Extreme Ultraviolet Spectrograph-Shuttle Pallet Satellite II (ORFEUS-SPAS II).,ca204200-4246-11d0-8080-808080808080,18
Missing Summary,de0da200-c601-11d5-8080-808080808080,10
Deploy new internet beacons,9af6ff80-45e2-11f1-8080-808080808080,329
Land on Mars,ac30cb00-42c7-11f1-8080-808080808080,160
Bring supplies to space center,1d538c80-428e-11f1-8080-808080808080,28
Tourist flight,69d59400-41ca-11f1-8080-808080808080,115
Tourist flight,e4de4f80-3526-11f1-8080-808080808080,288
Go to edge of solar system,c29b5200-2e01-11f1-8080-808080808080,126
Deploy satellites,782e4880-28ca-11f1-8080-808080808080,266
Land on Mars,3288e300-2300-11f1-8080-808080808080,40
Deploy new internet beacons,f7eadd80-1d36-11f1-8080-808080808080,95
Deploy satellites,c4614680-1add-11f1-8080-808080808080,211
Fifth human spaceflight and second manned space station docking for China.,dbf08000-d229-11e2-8080-808080808080,15
Launch failed due to fire. Crew ejected.,ac1b5c00-840d-11c1-8080-808080808080,0
ISS crew rotation.,aae00000-72a3-11e4-8080-808080808080,200
Final Shuttle-Mir docking. Mir crew rotation and resupply. Astrophysics research.,de611400-fa65-11d1-8080-808080808080,10
First human spaceflight of commercial spaceship.,9252be00-c391-11d8-8080-808080808080,0
ISS crew rotation. Space tourist flight.,ed9ac000-e49a-11db-8080-808080808080,197
ISS crew rotation.,96844000-1ca4-11e2-8080-808080808080,144
Astronomical observations.,48d78a00-c144-11b7-8080-808080808080,30
Hubble Space Telescope servicing mission.,8162ca00-83ec-11d0-8080-808080808080,10
Delivery of Japanese exposed facility and crew rotation,70774000-70d2-11de-8080-808080808080,16
ISS crew rotation.,3c0bec00-012d-11d8-8080-808080808080,10
First rendezvous with two different objects.,05e96800-3e15-11ae-8080-808080808080,3
Bring supplies to space center,7ad3e880-b99f-11ed-8080-808080808080,333
Land on Mars,7f13d080-b7fc-11ed-8080-808080808080,6
Deploy satellites,07b12780-b5d7-11ed-8080-808080808080,0
Crew rotation,b31c0580-af61-11ed-8080-808080808080,31
Tourist flight,7ec81c80-ae6f-11ed-8080-808080808080,304
Crew rotation,2ba93080-aa4f-11ed-8080-808080808080,297
Tourist flight,c08e3880-aa13-11ed-8080-808080808080,74
Find new forms of life,cc91d180-a911-11ed-8080-808080808080,9
Deploy new internet beacons,acb37580-a4ed-11ed-8080-808080808080,266
Deploy new internet beacons,64d52400-a4d6-11ed-8080-808080808080,202
ISS crew rotation and assemblyFirst Swede in space (Fuglesang),60dc4000-87e1-11db-8080-808080808080,12
Tourist flight,0d902680-7ef8-11f7-8080-808080808080,29
Land on Mars,b8a26b00-7a34-11f7-8080-808080808080,212
Deploy new internet beacons,1b3db380-6a01-11f7-8080-808080808080,90
Test new spacecraft model,610d1b80-6691-11f7-8080-808080808080,11
Bring supplies to space center,7a2d5b00-6292-11f7-8080-808080808080,129
Find new forms of life,7dfd3b80-52eb-11f7-8080-808080808080,308
Push the boundaries of human exploration,3ce59700-4c1a-11f7-8080-808080808080,109
Tourist flight,33c88480-482c-11f7-8080-808080808080,106
Deploy satellites,c4bfdb80-43a6-11f7-8080-808080808080,183
Find new forms of life,752cc300-4273-11f7-8080-808080808080,218
Salyut 6 crew rotation.,82aafc00-605d-11bc-8080-808080808080,175
Three communications satellites deployed. Demonstration of in-orbit construction techniques. First Mexican in space (Neri Vela).,667aa800-f291-11c3-8080-808080808080,6
"First American manned suborbital spaceflight (altitude 187 kilometres, 116 miles).",2396fc00-68cd-11a8-8080-808080808080,0
"LDEF deployed for later retrieval. Capture, repair and redeployment of malfunctioning Solar Maximum Mission satellite.",267c2400-1b87-11c2-8080-808080808080,7
Mir repair.,848db000-0da8-11d1-8080-808080808080,198
First three person U.S. crew. Launched over 20 months after Apollo 1 fatalities.,a3954a00-beed-11b0-8080-808080808080,11
ISS crew rotation and assembly,17a40000-eefe-11dc-8080-808080808080,16
ISS crew rotation.,05354000-ce10-11e1-8080-808080808080,127
"U.S. Department of Defense mission. Classified payload, reportedly reconnaissance satellite. First African-American Shuttle Commander.",ca586800-6b7b-11c8-8080-808080808080,5
